,fxp,twitter,okcupid,anime,entity
fxp,0.900074156470152,0.4822022216816671,0.5502808074230832,0.6242317052334092,0.5817301805198404
twitter,0.5948172866971532,0.9113759831346793,0.566437408432362,0.5615259223000586,0.604064757706412
okcupid,0.5229267086886664,0.6076380442714668,0.8633810841608335,0.569778019958347,0.6218557259140388
anime,0.643945948172867,0.6258817805886645,0.6344009441640892,0.857396179191045,0.6825499635866799
entity,0.740287562312034,0.6480985972593853,0.6569469314667101,0.6512230375292656,0.9971578275748729
ensemble,0.7824537552012524,0.7443444417416687,0.723608171902979,0.7410633061034121,0.831490110400031
stacked_fxp,0.7315947760886582,0.6880726506121787,0.6858212599706983,0.6818670890459984,0.9810199596553302
stacked_twitter,0.5848885593045771,0.9141328144003892,0.585259645124532,0.5788197699387211,0.6401655033738713
stacked_okcupid,0.6328430766695505,0.6285575285818535,0.8774621520429757,0.6348250527589344,0.6873771453245942
stacked_anime,0.6640299921723726,0.6330981918430227,0.6436594497802377,0.8620971503248658,0.7051616686967899
stacked_entity,0.7240967329955094,0.6501256790724074,0.6593683867817027,0.6523867356881289,0.9971674948280196
ensemle_stacked,0.7322539447122317,0.730722451958161,0.7249715122904119,0.7197657826562796,0.9222430605234495
